id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20357284,Cabin in San Ignacio Town +Gold Standard Certified,145194031,Francisco Javier,Cayo,Cayo,17.16117,-89.0695,Private room,89,2,227,2024-12-11,2.63,5,65,21,
20392274,Belizean Beach Front Condo - Tres Cocos Resort 503,85339670,Tres Cocos Resort,Belize,Belize Islands,17.934537887573242,-87.95304107666016,Entire home/apt,583,3,0,,,22,285,0,
20394973,Sarstoon Duplex,146876000,Ezekiel,Cayo,Cayo,17.25756,-88.76009,Entire home/apt,,3,12,2024-05-01,0.14,1,0,1,
20471866,Beachfront Villa Solemar at Belizean Cove Estates,43962459,Sandy,Belize,Belize Islands,17.956,-87.93973,Entire home/apt,2176,1,0,,,3,242,0,
20472096,Beachfront Villa Sol Mate at Belizean Cove Estates,43962459,Sandy,Belize,Belize Islands,17.95589,-87.94012,Entire home/apt,2176,1,0,,,3,266,0,
20493903,Lovely Studio Riverfront 2nd-Floor | Balcony,76414486,Vacasa Belize,Cayo,Cayo,17.16759,-89.12068,Entire home/apt,204,2,65,2024-11-16,0.79,215,362,18,
20513597,"Near Airport, Safe, Clean, Affordable",135691046,Paula,Belize,Belize Mainland,17.590333938598633,-88.35771942138672,Entire home/apt,71,3,54,2024-12-14,0.63,3,147,12,
20522580,Fabulous beach home with pool and beach view,146517735,Paradise,Belize,Belize Islands,17.9749,-87.92688,Entire home/apt,1701,1,15,2024-10-14,0.19,11,76,4,
20522581,Beautiful 3rd floor beach home in North San Pedro,146517735,Paradise,Belize,Belize Islands,17.97533,-87.927,Entire home/apt,1701,1,8,2022-05-29,0.10,11,71,0,
20522583,Perfect beach home and location,146517735,Paradise,Belize,Belize Islands,17.97465,-87.92749,Entire home/apt,1624,1,3,2024-07-29,0.30,11,86,3,
20522585,"Great location, spacious, beautiful beach home",146517735,Paradise,Belize,Belize Islands,17.97331,-87.92742,Entire home/apt,1687,1,27,2024-11-20,0.32,11,63,8,
20522586,Holiday Savings! Beach home that delivers,146517735,Paradise,Belize,Belize Islands,17.97521,-87.92574,Entire home/apt,1701,1,8,2024-02-25,0.09,11,88,2,
20522587,Meet relaxation in this beach home,146517735,Paradise,Belize,Belize Islands,17.97533,-87.92677,Entire home/apt,,3,9,2024-02-21,0.12,11,7,4,
20532327,"Waterfront, adult only resort with private casitas",141849847,Joe,Corozal,Corozal,18.39497,-88.37256,Entire home/apt,252,1,22,2024-09-28,0.28,6,355,4,
20532610,"Waterfront, adult only resort with private casitas",141849847,Joe,Corozal,Corozal,18.39734,-88.37069,Entire home/apt,252,1,0,,,6,356,0,
20533476,"Waterfront, adult only resort with private casitas",141849847,Joe,Corozal,Corozal,18.39475,-88.3729,Entire home/apt,252,1,3,2024-11-28,0.14,6,356,2,
20534882,Walk to Beach Renovated 1BR | Balcony | WiFi,76414486,Vacasa Belize,Stann Creek,Stann Creek Mainland,16.51618,-88.36854,Entire home/apt,69,1,12,2024-11-12,0.15,215,365,7,
20535183,Waterfront adult only resort with private casitas,141849847,Joe,Corozal,Corozal,18.39619,-88.37235,Entire home/apt,252,1,17,2024-12-03,0.20,6,352,3,
20584525,Oceanfront 3 bed/3 ba Penthouse Velento#1 private,13100806,Velento,Belize,Belize Islands,17.738201141357422,-88.02558898925781,Entire home/apt,821,1,68,2024-11-18,0.80,19,258,12,
20599884,"Oceanfront 2 bed/2 bath Velento#2/private dock, po",13100806,Velento,Belize,Belize Islands,17.738201141357422,-88.02558898925781,Entire home/apt,695,1,34,2024-08-07,0.41,19,277,4,
20599902,Oceanfront Penthouse 3 bed/3 ba Velento#3 private,13100806,Velento,Belize,Belize Islands,17.738201141357422,-88.02558898925781,Entire home/apt,706,1,71,2024-11-30,0.84,19,274,14,
20617333,Maxhapan Cabanas,147366013,Dorsethea Louise,Belize,Belize Islands,17.73921,-88.02623,Private room,111,2,204,2024-12-20,2.33,2,216,34,
20621855,"Oceanfront 2 bed/2 bath Velento#4,private dock/bea",13100806,Velento,Belize,Belize Islands,17.738201141357422,-88.02558898925781,Entire home/apt,695,1,71,2024-11-16,0.83,19,268,7,
20691015,Independence Loft,43141320,Nelida,Cayo,Cayo,17.15699,-89.07769,Private room,91,1,114,2024-11-14,1.30,4,357,3,
